"CentroCodigo";"CentroNombre";"TecnicaCodigo";"TecnicaNombre";"Año";"PerioricidadCodigo";"PeriodoCodigo";"RevisadoPor";"RevisadoFecha";"PreventivoEstado";"FechaExportacion"
"001";"La Marota";"001";"Agujas";"2009";"012";"01";"887535";8-Jan-10;"OK - Validado";"11/01/2010"
"001";"La Marota";"002";"Circuitos vía";"2009";"012";"01";"887535";29-Jun-09;"OK - Validado";"02/07/2009"
"001";"La Marota";"003";"EDD/DCO";"2009";"006";"01";"887535";4-Apr-09;"OK - Validado";"03/04/2009"
"001";"La Marota";"003";"EDD/DCO";"2009";"006";"02";"887535";4-Nov-09;"OK - Validado";"04/11/2009"
"001";"La Marota";"003";"EDD/DCO";"2009";"012";"01";"887535";4-Nov-09;"OK - Validado";"04/11/2009"
"001";"La Marota";"004";"Auxiliares";"2009";"006";"01";"887535";7-May-09;"OK - Validado";"08/05/2009"
"001";"La Marota";"004";"Auxiliares";"2009";"006";"02";"887535";1-Dec-09;"OK - Validado";"03/12/2009"
"001";"La Marota";"004";"Auxiliares";"2009";"012";"01";"887535";14-Dec-09;"OK - Validado";"11/01/2010"
"001";"La Marota";"005";"ENCE";"2009";"006";"01";"887535";30-Jan-09;"OK - Validado";"10/09/2009"
"001";"La Marota";"005";"ENCE";"2009";"006";"02";"887535";31-Jul-09;"OK - Validado";"04/08/2009"
"001";"La Marota";"005";"ENCE";"2009";"012";"01";"887535";31-Jul-09;"OK - Validado";"10/09/2009"
"001";"La Marota";"005";"ENCE";"2009";"024";"01";"887535";31-Jul-09;"OK - Validado";"04/08/2009"
"001";"La Marota";"006";"Energía";"2009";"001";"01";"887535";27-Jan-09;"OK - Validado";"04/02/2009"
"001";"La Marota";"006";"Energía";"2009";"001";"02";"887535";2-Mar-09;"OK - Validado";"04/03/2009"
"001";"La Marota";"006";"Energía";"2009";"001";"03";"887535";30-Mar-09;"OK - Validado";"03/04/2009"
"001";"La Marota";"006";"Energía";"2009";"001";"04";"887535";28-Apr-09;"OK - Validado";"07/05/2009"
"001";"La Marota";"006";"Energía";"2009";"001";"05";"887535";26-May-09;"OK - Validado";"02/06/2009"
"001";"La Marota";"006";"Energía";"2009";"001";"06";"887535";29-Jun-09;"OK - Validado";"02/07/2009"
"001";"La Marota";"006";"Energía";"2009";"001";"07";"887535";24-Jul-09;"OK - Validado";"04/08/2009"
"001";"La Marota";"006";"Energía";"2009";"001";"08";"887535";31-Aug-09;"OK - Validado";"02/09/2009"
"001";"La Marota";"006";"Energía";"2009";"001";"09";"887535";1-Oct-09;"OK - Validado";"05/10/2009"
"001";"La Marota";"006";"Energía";"2009";"001";"10";"887535";3-Nov-09;"OK - Validado";"04/11/2009"
"001";"La Marota";"006";"Energía";"2009";"001";"11";"887535";24-Nov-09;"OK - Validado";"03/12/2009"
"001";"La Marota";"006";"Energía";"2009";"001";"12";"887535";23-Dec-09;"OK - Validado";"07/01/2010"
"001";"La Marota";"006";"Energía";"2009";"002";"01";"887535";27-Jan-09;"OK - Validado";"04/02/2009"
"001";"La Marota";"006";"Energía";"2009";"002";"02";"887535";30-Mar-09;"OK - Validado";"03/04/2009"
"001";"La Marota";"006";"Energía";"2009";"002";"03";"887535";26-May-09;"OK - Validado";"02/06/2009"
"001";"La Marota";"006";"Energía";"2009";"002";"04";"887535";31-Jul-09;"OK - Validado";"04/08/2009"
"001";"La Marota";"006";"Energía";"2009";"002";"05";"887535";1-Oct-09;"OK - Validado";"05/10/2009"
"001";"La Marota";"006";"Energía";"2009";"002";"06";"887535";24-Nov-09;"OK - Validado";"03/12/2009"
"001";"La Marota";"006";"Energía";"2009";"006";"01";"887535";26-May-09;"OK - Validado";"06/08/2009"
"001";"La Marota";"006";"Energía";"2009";"006";"02";"887535";3-Dec-09;"OK - Validado";"07/04/2010"
"001";"La Marota";"006";"Energía";"2009";"012";"01";"887535";4-Apr-09;"OK - Validado";"03/04/2009"
"001";"La Marota";"006";"Energía";"2009";"036";"01";"887535";21-Apr-09;"OK - Validado";"07/05/2009"
"001";"La Marota";"008";"Señales";"2009";"006";"01";"887535";30-Jun-09;"OK - Validado";"02/07/2009"
"001";"La Marota";"008";"Señales";"2009";"006";"02";"887535";4-Nov-09;"OK - Validado";"03/12/2009"
"001";"La Marota";"008";"Señales";"2009";"012";"01";"887535";30-Jun-09;"OK - Validado";"02/07/2009"
"001";"La Marota";"012";"ASFA";"2009";"012";"01";"887535";30-Jun-09;"OK - Validado";"02/07/2009"
"001";"La Marota";"013";"ETCS Dimetronic";"2009";"012";"01";"887535";3-Nov-09;"No OK - Validado";"04/11/2009"
"002";"Santaella";"001";"Agujas";"2009";"012";"01";"887535";11-Jan-10;"OK - Validado";"11/01/2010"
"002";"Santaella";"002";"Circuitos vía";"2009";"012";"01";"887535";29-Jun-09;"OK - Validado";"28/10/2009"
"002";"Santaella";"003";"EDD/DCO";"2009";"006";"01";"887535";4-Apr-09;"OK - Validado";"03/04/2009"
"002";"Santaella";"003";"EDD/DCO";"2009";"006";"02";"887535";3-Nov-09;"OK - Validado";"03/12/2009"
"002";"Santaella";"003";"EDD/DCO";"2009";"012";"01";"887535";3-Nov-09;"OK - Validado";"04/11/2009"
"002";"Santaella";"004";"Auxiliares";"2009";"006";"01";"887535";7-May-09;"OK - Validado";"07/05/2009"
"002";"Santaella";"004";"Auxiliares";"2009";"006";"02";"887535";24-Nov-09;"OK - Validado";"13/01/2010"
"002";"Santaella";"004";"Auxiliares";"2009";"012";"01";;;"No Iniciado";"04/11/2009"
"002";"Santaella";"005";"ENCE";"2009";"006";"01";"887535";30-Jan-09;"OK - Validado";"04/02/2009"
