ADDITIONAL_TEXT;ID_LANGUAGE;PARAMETER_NUMBER;ERROR_TEXT;INVOKE_TYPE
bd.127_seen_for_30_seconds;1;3;BD %2%. 127 vistos en 30 segundos. %3% .;clc
bd.127_seen_for_30_seconds;5;3;BD %2%. 127 seen for 30 seconds. %3% .;clc
bd.Aspect_changed;1;3;BD %2%. El aspecto cambio a %3%.;clc
bd.Aspect_changed;5;3;BD %2%. Aspect changed to %3%.;clc
bd.Aspect_received;1;2;BD %2%. Aspecto recibido nuevamente después del timeout.;clc
bd.Aspect_received;5;2;BD %2%. Aspect received newly after aspect timeout.;clc
bd.Aspect_timeout;1;2;BD %2%. Aspecto no recibido sobre el interfaz remoto en 5 segundos.;clc
bd.Aspect_timeout;5;2;BD %2%. Aspect not received over Remote interface for 5 seconds (aspect timeout ran out).;clc
bd.Balise disconnected;1;3;BD %2%. La baliza %3% no está conectada al BD. La baliza envía siempre el telegrama por defecto.;clc
bd.Balise disconnected;5;3;BD %2%. Balise %3% is not connected to BD. The balise sends always the default telegram.;clc
bd.Balise_disconnected;1;3;BD %2%. La baliza %3% no está conectada al BD. La baliza envía siempre el telegrama por defecto.;clc
bd.Balise_disconnected;5;3;BD %2%. Balise %3% is not connected to BD. The balise sends always the default telegram.;clc
bd.Balise_ok;1;2;BD %2%. El baliza local fue encontrado al operar otra vez, después de que una desconexión o una corte fuera detectado.;clc
bd.Balise_ok;5;3;BD %2%. Local balise %3% was found to be operational again, after a disconnection or shortage stale was detected.;clc
bd.Balise_shorted;1;3;BD %2%. La baliza %3% está desconectada al BD. La baliza envía siempre el telegrama por defecto.;clc
bd.Balise_shorted;5;3;BD %2%. Balise %3% is shorted to BD. The balise sends always the default telegram.;clc
bd.BD_DES;1;2;BD %2%. BD_DES.;clc
bd.BD_DES;5;2;BD %2%. BD_DES;clc
bd.BD_EEPROM_failure;1;3;BD %2%. El manejador de test internos ha detectado un error (falló en IRQ). %3%.;clc
bd.BD_EEPROM_failure;5;3;BD %2%. The Internal Test Manager has detected an error. %3%.;clc
bd.BD_EEPROM_test_timeout;1;3;BD %2%. Se ha excedido el tiempo máximo de espera durante el test de EEPROM. %3%.;clc
bd.BD_EEPROM_test_timeout;5;3;BD %2%. A timeout limit was exceeded during the EEPROM test. %3%.;clc
bd.BD_Forbidden_code;1;3;BD %2%. Un error interno ha ocurrido durante la ejecución del programa (código prohibido). %3%.;clc
bd.BD_Forbidden_code;5;3;BD %2%. An internal error has occurred during the program execution (forbidden code). %3%.;clc
bd.BD_id_mismatch;1;2;Identificador de BD %2% no encontrado.;clc
bd.BD_id_mismatch;5;3;BD id %2% mismatch. %3%.;clc
bd.BD_invalid_configuration;1;2;BD %2%. Configuración no válida.;clc
bd.BD_invalid_configuration;5;2;BD %2%. Invalid configuration.;clc
bd.BD_invalid_frame;1;3;BD %2%. Trama inválida %3% del comando de configuración, recibido por línea serie.;clc
bd.BD_invalid_frame;5;3;BD %2%. Invalid configuration command frame %3% received on serial line.;clc
bd.BD_invalid_request;1;3;BD %2%. Petición no válida recibida. %3%.;clc
bd.BD_invalid_request;5;3;BD %2%. Invalid request received. %3%.;clc
bd.BD_IRQ_failure;1;3;BD %2%. El componenete software del manejador de test internos ha detectado un error (falló en IRQ). %3%.;clc
