time alarm_type valid invalid real
179 operationsDiagnosisCommunications 4 4 93
166 operationsDiagnosisCommunications 3 3 30
227 operationsDiagnosisCommunications 3 2 22
307 fieldElementFailure 0 2 0
32 operationsDiagnosisCommunications 0 9 8
305 fieldElementFailure 0 2 0
293 operationsDiagnosisCommunications 0 11 0
80 operationsDiagnosisCommunications 0 3 0
191 fieldElementFailure 0 3 8
175 operationsDiagnosisCommunications 0 6 29
250 fieldElementFailure 0 10 3
241 fieldElementFailure 5 0 43
227 fieldElementFailure 2 6 21
20 fieldElementFailure 0 8 2
225 fieldElementFailure 6 0 51
146 operationsDiagnosisCommunications 2 12 20
46 fieldElementFailure 9 2 61
251 fieldElementFailure 2 4 39
223 operationsDiagnosisCommunications 0 3 22
56 fieldElementFailure 0 10 0
28 operationsDiagnosisCommunications 0 7 7
302 operationsDiagnosisCommunications 0 5 0
89 operationsDiagnosisCommunications 0 7 0
80 fieldElementFailure 3 6 42
282 fieldElementFailure 5 0 33
273 operationsDiagnosisCommunications 3 5 15
85 fieldElementFailure 0 8 46
76 operationsDiagnosisCommunications 0 3 2
259 fieldElementFailure 4 5 48
308 fieldElementFailure 0 3 0
257 fieldElementFailure 0 4 30
306 fieldElementFailure 0 2 0
109 fieldElementFailure 7 2 68
283 fieldElementFailure 4 0 59
216 operationsDiagnosisCommunications 3 2 29
203 operationsDiagnosisCommunications 2 5 16
8 operationsDiagnosisCommunications 0 1 27
282 operationsDiagnosisCommunications 0 6 13
85 operationsDiagnosisCommunications 1 3 30
269 operationsDiagnosisCommunications 2 3 13
151 operationsDiagnosisCommunications 0 10 0
212 operationsDiagnosisCommunications 5 0 25
160 fieldElementFailure 0 5 7
199 operationsDiagnosisCommunications 6 0 32
4 operationsDiagnosisCommunications 0 2 9
305 operationsDiagnosisCommunications 0 6 0
278 operationsDiagnosisCommunications 2 5 50
65 operationsDiagnosisCommunications 0 4 11
37 fieldElementFailure 4 4 57
63 fieldElementFailure 0 15 0
61 fieldElementFailure 3 12 28
73 fieldElementFailure 3 6 40
122 fieldElementFailure 5 6 46
113 operationsDiagnosisCommunications 5 1 107
131 operationsDiagnosisCommunications 13 0 112
99 fieldElementFailure 0 5 12
97 fieldElementFailure 0 7 1
192 operationsDiagnosisCommunications 3 3 16
123 fieldElementFailure 11 1 65
240 operationsDiagnosisCommunications 0 4 20
258 operationsDiagnosisCommunications 1 3 31
61 operationsDiagnosisCommunications 0 5 9
154 fieldElementFailure 0 6 7
122 operationsDiagnosisCommunications 5 6 34
131 fieldElementFailure 6 6 48
180 fieldElementFailure 0 9 0
129 fieldElementFailure 10 0 63
178 fieldElementFailure 0 7 16
306 operationsDiagnosisCommunications 0 5 0
206 fieldElementFailure 2 1 35
109 operationsDiagnosisCommunications 5 0 135
204 fieldElementFailure 0 1 33
216 fieldElementFailure 0 4 0
188 operationsDiagnosisCommunications 1 9 6
249 operationsDiagnosisCommunications 1 3 9
240 fieldElementFailure 5 0 39
236 operationsDiagnosisCommunications 0 6 0
41 operationsDiagnosisCommunications 0 13 3
315 operationsDiagnosisCommunications 0 2 0
118 operationsDiagnosisCommunications 4 6 42
262 fieldElementFailure 3 4 58
168 operationsDiagnosisCommunications 1 5 18
245 operationsDiagnosisCommunications 2 2 13
241 operationsDiagnosisCommunications 1 4 11
313 fieldElementFailure 0 3 0
37 operationsDiagnosisCommunications 2 7 32
311 operationsDiagnosisCommunications 0 2 0
98 operationsDiagnosisCommunications 2 5 6
158 fieldElementFailure 0 6 0
168 fieldElementFailure 1 2 49
192 fieldElementFailure 0 4 11
164 operationsDiagnosisCommunications 5 3 61
225 operationsDiagnosisCommunications 5 0 91
197 fieldElementFailure 0 1 34
46 operationsDiagnosisCommunications 0 6 24
223 fieldElementFailure 5 1 36
221 fieldElementFailure 0 7 0
233 fieldElementFailure 1 5 31
26 fieldElementFailure 8 0 61
17 operationsDiagnosisCommunications 4 1 89
291 operationsDiagnosisCommunications 4 4 21
275 fieldElementFailure 3 6 30
94 operationsDiagnosisCommunications 1 4 42
50 fieldElementFailure 8 3 42
27 fieldElementFailure 0 8 1
76 fieldElementFailure 0 12 0
102 fieldElementFailure 2 5 45
144 operationsDiagnosisCommunications 2 10 22
221 operationsDiagnosisCommunications 0 2 23
26 operationsDiagnosisCommunications 0 6 17
13 operationsDiagnosisCommunications 2 3 21
