time alarm_type valid invalid real
248 fieldElementFailure 1 0 36
133 fieldElementFailure 0 1 14
259 fieldElementFailure 1 0 48
51 fieldElementFailure 1 0 41
144 fieldElementFailure 0 1 0
126 fieldElementFailure 1 1 38
239 fieldElementFailure 1 0 46
124 fieldElementFailure 1 0 62
169 fieldElementFailure 1 1 57
290 fieldElementFailure 1 0 42
264 fieldElementFailure 1 0 17
149 fieldElementFailure 0 2 8
150 fieldElementFailure 0 2 7
116 fieldElementFailure 0 2 54
114 fieldElementFailure 1 0 62
47 fieldElementFailure 1 0 56
279 fieldElementFailure 1 0 27
165 fieldElementFailure 0 1 1
166 fieldElementFailure 0 1 0
132 fieldElementFailure 0 1 1
81 fieldElementFailure 1 0 52
2 fieldElementFailure 1 0 42
61 fieldElementFailure 2 0 28
107 fieldElementFailure 1 0 53
28 fieldElementFailure 0 1 16
168 fieldElementFailure 0 1 49
291 fieldElementFailure 1 0 59
148 fieldElementFailure 1 0 54
146 fieldElementFailure 0 1 38
46 fieldElementFailure 1 0 61
263 fieldElementFailure 1 0 10
172 fieldElementFailure 0 2 0
89 fieldElementFailure 0 1 35
293 fieldElementFailure 0 1 0
115 fieldElementFailure 2 0 53
292 fieldElementFailure 1 0 47
241 fieldElementFailure 1 0 43
258 fieldElementFailure 1 0 51
95 fieldElementFailure 1 0 48
62 fieldElementFailure 0 1 5
255 fieldElementFailure 0 1 17
60 fieldElementFailure 1 0 64
26 fieldElementFailure 1 0 61
247 fieldElementFailure 2 0 36
3 fieldElementFailure 1 0 42
52 fieldElementFailure 1 0 37
129 fieldElementFailure 2 0 63
254 fieldElementFailure 1 0 24
111 fieldElementFailure 0 1 1
109 fieldElementFailure 2 0 68
27 fieldElementFailure 0 1 1
238 fieldElementFailure 1 0 46
170 fieldElementFailure 1 0 38
145 fieldElementFailure 0 1 17
88 fieldElementFailure 0 1 58
130 fieldElementFailure 3 0 56
127 fieldElementFailure 0 1 53
240 fieldElementFailure 0 1 39
125 fieldElementFailure 0 2 1
94 fieldElementFailure 1 0 38
171 fieldElementFailure 1 1 33
278 fieldElementFailure 1 0 63
151 fieldElementFailure 0 1 0
117 fieldElementFailure 0 1 48
246 fieldElementFailure 0 1 14
131 fieldElementFailure 0 2 48
82 fieldElementFailure 1 0 51
143 fieldElementFailure 0 1 47
128 fieldElementFailure 1 0 69
110 fieldElementFailure 1 1 75
108 fieldElementFailure 2 0 79
25 fieldElementFailure 1 0 52
