"","rule","precision","recall"
"1","<{SAMEL_CM_communication_DOWN},{SAMEL_CM_communication_DOWN}>",0.56491228,0.56491228
"","rule","precision","recall"
"1","<{saml.status.DS_6_0},{saml.status.DS_6_0}>",0.22386705,0.22386705
"2","<{saml.status.DS_10_24},{saml.status.DS_6_0}>",0.1,0.003571429
"3","<{saml.status.DS_6_0},{saml.status.DS_10_56}>",0.06522129,0.25
"4","<{saml.status.DS_6_0},{saml.status.DS_10_60}>",0.04078947,0.18
"5","<{saml.status.DS_6_0},{saml.status.DS_10_52}>",0.04078947,0.2
"6","<{saml.status.DS_10_56},{saml.status.DS_6_0}>",0.01666667,0.00625
"7","<{saml.status.DS_10_56},{saml.status.DS_10_60}>",0.01666667,0.02
"8","<{saml.status.DS_10_56},{saml.status.DS_10_56}>",0.01666667,0.01666667
"9","<{saml.status.DS_10_56},{saml.status.DS_10_52}>",0.01666667,0.025
"10","<{saml.status.DS_10_56,saml.status.DS_6_0},{saml.status.DS_6_0}>",0.01666667,0.00625
"11","<{saml.status.DS_10_56,saml.status.DS_6_0},{saml.status.DS_10_60}>",0.01666667,0.02
"12","<{saml.status.DS_10_56,saml.status.DS_6_0},{saml.status.DS_10_56}>",0.01666667,0.01666667
"13","<{saml.status.DS_10_56,saml.status.DS_6_0},{saml.status.DS_10_52}>",0.01666667,0.025
"14","<{saml.status.DS_6_0},{saml.status.DS_10_24}>",0.01052632,0.1
"","rule","precision","recall"
"1","<{saml.status.DS_7_41,saml.status.DS_7_27},{saml.status.DS_7_41}>",0.32416666,0.187674
"2","<{saml.status.DS_7_27},{saml.status.DS_7_41}>",0.30749999,0.187674
"3","<{saml.status.DS_7_41,saml.status.DS_7_39},{saml.status.DS_1_4}>",0.275,0.054914528
"4","<{saml.status.DS_7_39},{saml.status.DS_1_4}>",0.275,0.06260684
"5","<{saml.status.DS_7_41,saml.status.DS_7_27},{saml.status.DS_7_27}>",0.27416666,0.25749999
"6","<{saml.status.DS_7_27},{saml.status.DS_7_27}>",0.25749999,0.25749999
"7","<{saml.status.DS_7_41,saml.status.DS_7_29},{saml.status.DS_7_41}>",0.25119047,0.12600734
"8","<{saml.status.DS_7_41,saml.status.DS_1_4},{saml.status.DS_7_41}>",0.25,0.05178571
"9","<{saml.status.DS_7_41},{saml.status.DS_7_41}>",0.24472527,0.24472527
"10","<{saml.status.DS_7_29},{saml.status.DS_7_41}>",0.2297619,0.12600734
"11","<{saml.status.DS_7_41,saml.status.DS_7_27,saml.status.DS_7_29},{saml.status.DS_7_41}>",0.20785714,0.10934067
"12","<{saml.status.DS_7_27,saml.status.DS_7_29},{saml.status.DS_7_41}>",0.20785714,0.10934067
"13","<{saml.status.DS_7_41},{saml.status.DS_7_27}>",0.175174,0.25749999
"14","<{saml.status.DS_7_41,saml.status.DS_7_29},{saml.status.DS_1_4}>",0.16666667,0.020717518
"15","<{saml.status.DS_7_41,saml.status.DS_7_27,saml.status.DS_7_29},{saml.status.DS_7_27}>",0.165,0.11666666
"16","<{saml.status.DS_7_27,saml.status.DS_7_29},{saml.status.DS_7_27}>",0.165,0.11666666
"17","<{saml.status.DS_7_41},{saml.status.DS_1_4}>",0.16332417,0.149441559
"18","<{saml.status.DS_7_41,saml.status.DS_7_29},{saml.status.DS_7_27}>",0.15833333,0.11666666
"19","<{saml.status.DS_7_29},{saml.status.DS_7_27}>",0.15357143,0.11666666
"20","<{saml.status.DS_7_41,saml.status.DS_7_39},{saml.status.DS_7_41}>",0.145,0.07833333
"21","<{saml.status.DS_7_29},{saml.status.DS_1_4}>",0.13690476,0.05340983
"22","<{saml.status.DS_7_41,saml.status.DS_7_39},{saml.status.DS_7_27}>",0.125,0.0625
"23","<{saml.status.DS_7_41,saml.status.DS_7_27,saml.status.DS_7_39},{saml.status.DS_7_41}>",0.125,0.05833333
"24","<{saml.status.DS_7_41,saml.status.DS_7_27,saml.status.DS_7_39},{saml.status.DS_7_27}>",0.125,0.0625
"25","<{saml.status.DS_7_39},{saml.status.DS_7_41}>",0.12,0.07833333
"26","<{saml.status.DS_7_39},{saml.status.DS_7_27}>",0.12,0.0825
"27","<{saml.status.DS_7_41,saml.status.DS_7_27},{saml.status.DS_1_4}>",0.11666668,0.062606836
"28","<{saml.status.DS_3_4},{saml.status.DS_7_41}>",0.11428571,0.05333333
"29","<{saml.status.DS_3_4},{saml.status.DS_7_39}>",0.11428571,0.045
"30","<{saml.status.DS_3_4},{saml.status.DS_7_27}>",0.11428571,0.05333333
"31","<{saml.status.DS_3_4},{saml.status.DS_7_25}>",0.11428571,0.045
"32","<{saml.status.DS_7_27,saml.status.DS_7_39},{saml.status.DS_7_41}>",0.10833333,0.05833333
"33","<{saml.status.DS_7_27,saml.status.DS_7_39},{saml.status.DS_7_27}>",0.10833333,0.0625
"34","<{saml.status.DS_7_41,saml.status.DS_7_27,saml.status.DS_7_29},{saml.status.DS_7_29}>",0.10785714,0.09642857
"35","<{saml.status.DS_7_27,saml.status.DS_7_29},{saml.status.DS_7_29}>",0.10785714,0.09642857
"36","<{saml.status.DS_7_39},{saml.status.DS_7_39}>",0.10333333,0.10333333
"37","<{saml.status.DS_7_41,saml.status.DS_7_29},{saml.status.DS_7_29}>",0.10119047,0.09642857
